geoid,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
1400000US06037570204,6037570204,4201,.04320513,11.99002053,.401687119,339.0441176,84.92886538,.164386792,6674.423421,982.2408098,7,88.8,2.39,0,2.5,78.42,6.7,17.31,25.1,10.9,42.5,8.4,23,16.23,66.63,17.14,53.65,13.88,17.52,.43,12.45,2.07,0,1192
1400000US06037570301,6037570301,7273,.04259906,12.50092519,.502533986,339.0441176,78.53877934,.841775325,8781.373127000001,1663.949239,9,17.05,.97,7,.5,94.42,6.34,20.48,33.7,16.1,56.9,7.9,32.8,18.6,76.56,4.84,68.48999999999999,7.97,11.77,0,8.84,2.93,0,988
1400000US06037570303,6037570303,4471,.04192559,12.47113428,.492702487,339.0441176,90.21955685,0,9065.480146,724.9417155,.7,14.3,.305,7,0,94.42,6.43,20.48,24.2,4.8,42,6.5,39.7,19.55,75.08,5.37,59.58,5.44,18.07,0,12.08,4.83,0,1204
1400000US06037570304,6037570304,5094,.04192559,12.95638339,.489711624,339.0441176,78.04214826,0,9431.766927000001,719.7162498,1.75,18,.52,11,0,94.42,5.14,20.48,25.6,10,54.2,5.5,15.4,15.88,77.58,6.54,66.25,6.09,17.26,.63,9.31,.47,0,999
1400000US06037570402,6037570402,3400,.04192559,12.78098946,.972570026,338.5575787,86.61243497,.001011241,9572.149740000001,4072.827967,7.95,35.3,1.135,10,2.5,88.48999999999999,8.16,19.32,22.4,7,37.7,11.6,24.1,16.79,72.12,11.09,52.71,3.53,36.44,0,6.12,1.21,0,1470
1400000US06037570403,6037570403,4832,.04259906,12.4277485,.9005652,328.9952303,91.10340978000001,.287445612,11027.86328,1778.158275,2,10.75,.63,10,5,84.23,6.85,18.48,45.2,14.9,57.6,9.800000000000001,32.4,25.17,70.88,3.95,84.25,3.48,4.74,0,6.71,.83,0,965
1400000US06037570404,6037570404,3676,.04259906,12.38808685,1.557586728,311.7939705,88.73207914,.01656937,9971.729858999999,4995.974322,1.4,3,.805,7,1.45,85.11,6.3,18.65,36.3,6.9,41.5,9.300000000000001,21.3,14.83,76.12,9.06,71.87,1.31,18.2,0,5.17,3.45,0,1105
1400000US06037570501,6037570501,8042,.04259906,12.25666707,.231827286,339.0441176,88.55115876000001,3.288567017,8025.20646,743.463199,9,28.75,1.185,7,.5,94.42,6.94,20.48,25.9,6.6,50.5,16.2,16.9,16.03,75.22,8.75,56.33,8.19,19.15,0,15.24,1.08,1,1193
1400000US06037570502,6037570502,6588,.04259906,12.07851936,.214569752,339.0441176,85.57574135,.780461688,7239.183065,913.8811807,14,122,4.395,7,11.5,94.42,6.63,20.48,28.9,8.300000000000001,38.8,6.3,25.2,14.6,77.73,7.67,58.36,10.23,5.37,.18,21.28,4.57,1,1167
1400000US06037570601,6037570601,5610,.04192559,12.2095544,.189770447,339.0441176,84.6337114,0,8487.453124,732.8744872,0,3.55,.265,7,.5,94.42,6.21,20.48,27,7.7,43.7,9.5,25.3,14.33,78.41,7.25,57.2,8.539999999999999,16.36,4.05,12.75,1.11,0,1132
1400000US06037570602,6037570602,6177,.04192559,12.0198097,.086347085,339.0441176,85.18226769,0,7717.75008,801.7190035,1.75,14.5,.435,7,5.8,89.18000000000001,6.83,19.38,22.1,6.4,31.9,6,16.6,17.26,71.13,11.61,48.89,7.2,10.59,0,30.84,2.48,0,1191
1400000US06037570603,6037570603,5172,.04259906,11.93730018,.155949396,442.0114375,57.94305812,0,6705.973226,813.2300304,7,43.5,.705,0,13,84.91,6.49,17.32,7.8,1.1,46,9.699999999999999,24.5,19.3,75.31,5.39,34.24,9.65,44.74,0,9.5,1.88,0,1145
1400000US06037570701,6037570701,7372,.04259906,11.81301379,.246514998,459.7828993,69.64193141,.506158892,6028.649903,933.0934427,1.75,50.75,.785,0,8.5,123.15,5.38,13.18,9.300000000000001,3.2,14.4,5.2,13.2,14.11,73.02,12.87,32.61,17.43,20.02,0,27.27,2.67,0,1293
1400000US06037570702,6037570702,2296,.04259906,11.93730018,.081776101,459.9252943,71.412181,0,6804.089925,819.2296443,.7,13.05,.25,0,9.25,138.46,6.42,14.25,7.4,.1,16.1,3.2,18.7,7.4,76.22,16.38,35.41,27.22,15.9,3.48,12.54,5.44,0,2064
1400000US06037570800,6037570800,5300,.04320513,11.71457463,.067222714,461.8326686,77.67989222,.494379059,5245.553426,1014.140254,0,11,.365,0,0,115.64,2.7,12.55,7.6,3.4,13.6,4.1,14.9,11.66,77.87,10.47,29.74,47.06,6.26,.38,14.49,2.08,0,1849
1400000US06037570901,6037570901,5752,.04320513,11.74987106,.183896396,461.8326686,57.98621452,7.311427438,4459.209961,733.5243646,0,0,.475,2,3.5,31.38,5.06,13.51,5.9,2.1,12.7,6.1,8.300000000000001,13.2,72.84,13.96,27.59,46.64,5.67,0,14.8,5.3,0,2406
1400000US06037570902,6037570902,3583,.04320513,11.67212819,.061197082,461.8326686,70.0956678,.595115914,4783.053223,835.7528866,0,0,.31,0,.2,34.4,3.8,15.1,5.9,0,18.1,4.3,11.8,10.63,76.3,13.06,27.63,42.92,6.87,0,12.92,9.66,0,1736
1400000US06037571000,6037571000,5628,.04320513,11.71684505,.093987248,461.8326686,66.39681989,1.675628117,4380.869914,808.9191328000001,2,0,.22,10,5,32.57,4.69,14.05,6.7,3.1,9.4,4.5,11.1,10.29,73.81,15.9,25.75,58.21,1.76,0,8.81,5.47,1,1995
1400000US06037571101,6037571101,4402,.04259906,11.6438093,.049705708,461.8326686,63.45722416,.882484472,4697.966716,861.5550143,0,0,.36,2,2.3,34.4,5.12,15.1,7.1,1.2,9.9,4.9,8.4,10.27,75.23999999999999,14.49,32.62,53.13,1.93,0,9.43,2.89,0,1872
1400000US06037571102,6037571102,4073,.04259906,11.62150813,.062518701,461.8326686,77.34928375,0,4877.073364,769.0097416999999,0,0,.575,0,.5,33.59,6.16,14.74,6.5,4,19,3.2,16.3,13.23,75.03,11.74,28.73,44.91,5.62,.39,17.38,2.97,1,2119
